,Alt_ID,in_degree,out_degree,out/in
GATA5,GATA5,2.0,0.0,0.0
NKX6-3,NKX6-3,4.0,0.0,0.0
YY2,YY2,2.0,0.0,0.0
ESRRB,ESRRB,5.0,0.0,0.0
PAX5,PAX5,4.0,0.0,0.0
ZNF713,ZNF713,3.0,0.0,0.0
MTERF1,MTERF1,2.0,0.0,0.0
VAX2,VAX2,18.0,0.0,0.0
OTP,OTP,2.0,0.0,0.0
NKX2-8,NKX2-8,4.0,0.0,0.0
HIC2,HIC2,1.0,0.0,0.0
IRX4,IRX4,36.0,0.0,0.0
ZNF282,ZNF282,3.0,0.0,0.0
NOBOX,NOBOX,6.0,0.0,0.0
