,Alt_ID,in_degree,out_degree,out/in
NFIB,NFIB,4.0,0.0,0.0
C10orf90,C10orf90,12.0,0.0,0.0
POU5F1,POU5F1,2.0,0.0,0.0
HIC2,HIC2,1.0,0.0,0.0
SIX2,SIX2,1.0,0.0,0.0
TCF7,TCF7,3.0,0.0,0.0
TBX1,TBX1,1.0,0.0,0.0
ZNF35,ZNF35,2.0,0.0,0.0
FOXJ1,FOXJ1,1.0,0.0,0.0
AR,AR,2.0,0.0,0.0
INSM1,INSM1,11.0,0.0,0.0
SHOX2,SHOX2,2.0,0.0,0.0
WT1,WT1,4.0,0.0,0.0
LHX5,LHX5,1.0,0.0,0.0
DMRT3,DMRT3,4.0,0.0,0.0
HOXD8,HOXD8,3.0,0.0,0.0
PRRX2,PRRX2,2.0,0.0,0.0
PAX1,PAX1,3.0,0.0,0.0
SOX7,SOX7,1.0,0.0,0.0
HOXC10,HOXC10,2.0,0.0,0.0
