,Alt_ID,in_degree,out_degree,out/in
RUNX2,RUNX2,5.0,4.0,0.8
ZNF281,ZNF281,5.0,4.0,0.8
GATA6,GATA6,5.0,4.0,0.8
MAFA,MAFA,4.0,3.0,0.75
ELF2,ELF2,4.0,3.0,0.75
XBP1,XBP1,4.0,3.0,0.75
SREBF2,SREBF2,4.0,3.0,0.75
ZNF524,ZNF524,8.0,6.0,0.75
ZBTB6,ZBTB6,4.0,3.0,0.75
ETS2,ETS2,10.0,7.0,0.7
TBX21,TBX21,3.0,2.0,0.6666666666666666
ATF2,ATF2,3.0,2.0,0.6666666666666666
FOXP3,FOXP3,3.0,2.0,0.6666666666666666
HOXD11,HOXD11,12.0,8.0,0.6666666666666666
STAT5B,STAT5B,6.0,4.0,0.6666666666666666
SPIB,SPIB,3.0,2.0,0.6666666666666666
EP300,EP300,3.0,2.0,0.6666666666666666
STAT5A,STAT5A,6.0,4.0,0.6666666666666666
IRF8,IRF8,9.0,6.0,0.6666666666666666
NKX3-2,NKX3-2,6.0,4.0,0.6666666666666666
SMAD1,SMAD1,8.0,5.0,0.625
E2F2,E2F2,13.0,8.0,0.6153846153846154
PKNOX2,PKNOX2,5.0,3.0,0.6
ATF7,ATF7,5.0,3.0,0.6
BRCA1,BRCA1,5.0,3.0,0.6
ZNF350,ZNF350,5.0,3.0,0.6
SOX5,SOX5,5.0,3.0,0.6
DDIT3,DDIT3,7.0,4.0,0.5714285714285714
SOX12,SOX12,7.0,4.0,0.5714285714285714
VENTX,VENTX,7.0,4.0,0.5714285714285714
NFKB1,NFKB1,9.0,5.0,0.5555555555555556
FOXA3,FOXA3,4.0,2.0,0.5
SOX17,SOX17,2.0,1.0,0.5
VBP1,VBP1,6.0,3.0,0.5
GABPA,GABPA,4.0,2.0,0.5
ELK1,ELK1,4.0,2.0,0.5
RELA,RELA,4.0,2.0,0.5
HOXD1,HOXD1,4.0,2.0,0.5
CEBPG,CEBPG,4.0,2.0,0.5
ZNF35,ZNF35,2.0,1.0,0.5
BBX,BBX,2.0,1.0,0.5
SOX7,SOX7,2.0,1.0,0.5
ZNF148,ZNF148,2.0,1.0,0.5
NKX3-1,NKX3-1,2.0,1.0,0.5
RFX5,RFX5,2.0,1.0,0.5
MTF1,MTF1,4.0,2.0,0.5
FOXD2,FOXD2,6.0,3.0,0.5
HOXB8,HOXB8,4.0,2.0,0.5
SOX13,SOX13,11.0,5.0,0.45454545454545453
HSF2,HSF2,5.0,2.0,0.4
PRRX2,PRRX2,5.0,2.0,0.4
LHX1,LHX1,5.0,2.0,0.4
NR2F6,NR2F6,10.0,4.0,0.4
KLF4,KLF4,5.0,2.0,0.4
MAZ,MAZ,6.0,2.0,0.3333333333333333
ZNF740,ZNF740,6.0,2.0,0.3333333333333333
NR5A2,NR5A2,3.0,1.0,0.3333333333333333
BATF3,BATF3,6.0,2.0,0.3333333333333333
PRDM4,PRDM4,3.0,1.0,0.3333333333333333
SATB1,SATB1,3.0,1.0,0.3333333333333333
GSC,GSC,6.0,2.0,0.3333333333333333
ZBTB33,ZBTB33,3.0,1.0,0.3333333333333333
HENMT1,HENMT1,7.0,2.0,0.2857142857142857
TCF7L1,TCF7L1,7.0,2.0,0.2857142857142857
SP4,SP4,8.0,2.0,0.25
PHOX2A,PHOX2A,4.0,1.0,0.25
MAFB,MAFB,4.0,1.0,0.25
EMX1,EMX1,4.0,1.0,0.25
CEBPZ,CEBPZ,4.0,1.0,0.25
ETS1,ETS1,4.0,1.0,0.25
E2F6,E2F6,4.0,1.0,0.25
HLTF,HLTF,4.0,1.0,0.25
TBX18,TBX18,14.0,3.0,0.21428571428571427
IRX3,IRX3,5.0,1.0,0.2
GLI2,GLI2,5.0,1.0,0.2
EWSR1,EWSR1,5.0,1.0,0.2
MEIS3,MEIS3,21.0,4.0,0.19047619047619047
KLF15,KLF15,6.0,1.0,0.16666666666666666
SRF,SRF,6.0,1.0,0.16666666666666666
FOXO4,FOXO4,6.0,1.0,0.16666666666666666
BCL6B,BCL6B,7.0,1.0,0.14285714285714285
MYBL1,MYBL1,7.0,1.0,0.14285714285714285
ZNF691,ZNF691,22.0,3.0,0.13636363636363635
RAX,RAX,8.0,1.0,0.125
FOXA1,FOXA1,70.0,7.0,0.1
NR0B1,NR0B1,11.0,1.0,0.09090909090909091
RXRG,RXRG,12.0,1.0,0.08333333333333333
HOXD10,HOXD10,51.0,4.0,0.0784313725490196
LMX1B,LMX1B,16.0,1.0,0.0625
THRB,THRB,49.0,2.0,0.04081632653061224
NFIX,NFIX,27.0,1.0,0.037037037037037035
MYF6,MYF6,1.0,0.0,0.0
HIC2,HIC2,2.0,0.0,0.0
HOXB9,HOXB9,7.0,0.0,0.0
YY2,YY2,3.0,0.0,0.0
HDX,HDX,3.0,0.0,0.0
NKX2-4,NKX2-4,27.0,0.0,0.0
ETV2,ETV2,5.0,0.0,0.0
SOX8,SOX8,5.0,0.0,0.0
YY1,YY1,3.0,0.0,0.0
AR,AR,6.0,0.0,0.0
ZNF713,ZNF713,3.0,0.0,0.0
